Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Idade do Repositório (anos),Total de Releases
1,JavaGuide,https://github.com/Snailclimb/JavaGuide,145850,07/05/2018 13:27:00,6.35,0
2,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,98418,05/09/2019 03:01:56,5.02,0
3,hello-algo,https://github.com/krahets/hello-algo,94764,04/11/2022 11:08:34,1.85,8
4,java-design-patterns,https://github.com/iluwatar/java-design-patterns,89268,09/08/2014 16:45:18,10.1,0
5,mall,https://github.com/macrozheng/mall,77223,04/04/2018 01:11:44,6.44,3
6,advanced-java,https://github.com/doocs/advanced-java,75646,06/10/2018 11:38:30,5.93,1
7,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,75305,06/12/2018 08:01:22,5.77,0
8,spring-boot,https://github.com/spring-projects/spring-boot,74438,19/10/2012 15:02:57,11.9,283
9,elasticsearch,https://github.com/elastic/elasticsearch,69463,08/02/2010 13:20:56,14.6,155
10,interviews,https://github.com/kdn251/interviews,63307,14/02/2017 18:19:25,7.58,0
